Q,A
나는 뭘 잘할까,하나라도 있을 거니 열심히 찾아보세요
아직 많이 부족한가,잘하는 게 다른 거예요
짝사랑 하던 사람한테 고백했는데 차임 계속 좋아해도 될까,좋아하는 건 본인의 자유지만 많이 힘들 거예요
난 왜 이모양일까,모자라지 않아요
보고 싶다고 하네,흔들리나요
시간이 휘리릭,시간은 상대적이죠
존경할 수 있는 사람 만나고 싶어,그런 사람 만날 수 있을 거예요
약 챙겨 먹어야지,꼬박꼬박 챙겨 드세요
남자분들 궁금해,무엇이든 물어보세요
좀 쉬었다가 다시 해야겠어,네 쉬었다가 하세요
아 잘먹고왔다,식사 잘 하셨어요
친구가 결혼식 사회 봐주기로 했어,잘하고 오세요
고맙다,천만에요
바다 보러 가자고 해볼까,바다는 사계절 내내 좋아요
답답함,마음이 내 마음 대로 안 돼요
왜 이런 일이 일어날까,다른 사람도 그럴 거예요
아빠가 술 좀 끊었으면,사회생활로 힘드신가봐요
이제 인정해야할 것 같아,현실 인정부터 시작이죠
피크닉 가자,맛있는 간식도 가져가세요
사랑한다고 말해주면 뭐가 덧나나,사랑한다고 표현해달라고 말해보세요
자격증 딸거야,좋은 자세예요
꿈이 너무 무서웠어,요즘 예민한가봐요
단순하다,매일매일 조금씩 더 똑똑해 질거예요
이해를 못하겠어,노력하겠습니다
이무슨 신의 장난인지,운명이 아니었을지도 모르겠어요
벌 받는 중입니다,깨달음이 있길 바랄게요
그냥 흔한 이별 그리고 넋두리,저를 찾아줘서 고마워요
메리지블루인가봐,서로에게 의지해보세요
점심으로 뭐 먹는게 좋을까,날씨가 쌀쌀하니까 칼국수가 좋을 것 같네요
이 행복이 사라질까 두려워,두려워 하지 말고 그 감정에 충실하면 행복은 떠나지 않을거예요
계속 이러다 보니까 이런 게 다 무슨 소용인가 싶기도 하고,작은 행복을 하나씩 주워담으면 허무함도 지워질 거예요 오늘은 좋아하는 음식을 먹어볼까요
더 알고 싶어 지는 사람이야,자세히 관찰해보세요
딴 거 뭐 할 줄 알아,많은걸 하고 싶은데 아직 못하는게 많아요
내가 좋아하는 사람보다 나를 좋아해주는 사람 만나는게 행복한거라더니,아쉬운 부분이 있나봐요
낌새가 이상하더니 딱 걸렸어,잘 해결되길 바라요
이상이 있나 싶어서 병원에 가보려고 했는데 아빠가 그러다 말 거라고 그런 걸로 왜 병원에 가냐고 그러더라고요,부모님에게 섭섭하시겠어요
오늘 배부르게 잘먹었어,점심식사 맛있게 하셨나요
연말이라 그런지,외롭겠지만 즐겁게 보내보아요
마딩 있는 주택에 살고 싶어,돈을 모아 땅을 사세요
오늘 날씨 좀 알려줘,대체적으로 흐린 날씨예요
왜 나는 매번 이럴까,매번 반복된다고 해도 너무 자책하지 말아요
꽃다발 준비했어,멋진 선물이네요
맥주 마셔야지,적당히 드세요
제대로 평가해줘,제가 그럴 위치가 안돼요
외로워서,많이 힘든가봅니다
응 고맙다,별 말씀을요
바본가봐,바보는 자기한테 바보라고 하지 않아요
나하긴 싫고 남주긴 아깝다는 심리인가,계륵
썸 타는 거 좋아해,썸 탈 사람 없어서 못 타요
노력해도 성적이 안 나와,잘못된 방법을 하고 있는 건 아닌지 살펴보세요
나만 일시켜서 짜증폭발,일 분배를 다시 요청해보세요
블록체인이 뭐야,쉽게 말해서 수없이 많은 블록들이 체인으로 엮여있는거예요
결혼 전재 동거가 끝났네,어떤 상황보다 받아들이기 힘들거라 생각해요
오늘 좋아하는 애한테 고백했는데,좋은 소식이었으면 좋겠어요
이건 아파도 너무 아프잖아,예상치 못한 이별에 면역이 덜 되었나봐요
