유저,구분
오전 수업을 들으려면 시에는 일어나야 하는데 엄마가 깨우지 않으면 일어나지도 못해요,증상/과수면
회사에서 일하는데 갑자기 가슴이 찌릿 통증이 오는 거에요,증상/가슴통증
갑자기 이러다 확 심장마비 와서 죽어버리면 어떡하지 싶고,증상/죽음공포
잠이 오긴 하는데 자꾸 깨서 제대로 못 자고 있어,증상/불면
근데 그 날 이후로 가만히 있어도 심장이 막 쿵쾅쿵쾅 뛰어요,증상/두근거림
일도 다시 시작하고 싶고 일상으로 돌아가고 싶은데 낫질 않으니 너무 초조합니다,감정/초조함
일주일 정도 안 자면 피로감은 있어요,증상/불면
아무리 바빠도 년에 한 번은 꼭 가려고 하고 있거든요,배경/생활
평소에도 다들 괜히 버찌 째려보고 싫어하고 그랬거든,배경/가족/갈등
우울증 생긴 이후로 공부도 잘 안되는 것 같아요 집중력이 떨어지는 느낌,증상/집중력저하
아무것도 없는데 귀에서 벌레 날아다니는 소리가 계속 들리거든,증상/이명
그래도 여전히 우울한 마음이 들긴해요,감정/우울감
우울해서 가끔은 그냥 막 울어버리고 싶기도 해,감정/우울감
가끔은 그런 생각이 들어 진짜 아무 것도 못 하겠다는 생각,감정/무력감
왜 안 좋은 일은 한꺼번에 닥치는지 모르겠어,감정/힘듦
다음 카페에 자꾸 내 이야기가 올라와서 미칠 지경이에요 ,증상/피해망상
맨정신일 때는 저를 주체할 수 가 없었거든요,감정/감정조절이상
자야 되는데 잠이 안 와,증상/불면
진짜 다들 뭣도 모르면서 떠드는 거 짜증나,감정/짜증
너무 무서워져서 거의 도망치듯이 내려서 한참동안 쉬었어요,감정/무서움
불면증이 한번 오면 좀처럼 낫지를 않아서 너무 힘들어,증상/불면
남편이 출장 가고 집에 나밖에 없는데 시어머니가 자꾸 찾아와,배경/시댁/갈등
유일하게 제가 의지하는 사람이 남편이에요,배경/남편/의지
나도 모르게 스트레스 엄청 받았는지 어제 샤워하는데 갑자기 막 어지럽고 현기증이 나는거야,증상/어지러움
그 주에 바로 병원 가서 검사를 했는데 아무 이상도 없대,치료이력/병원내원/검사/이상없음
제가 얼마나 놀랐겠어요 학교 동창회 카페에도 제 사생활이 버젓이 올라가 있어요,증상/피해망상/도청
우리가 공학이고 합반이라 남자애들도 그걸 다 봤거든,배경/학교
자려고 하니까 갑자기 의식이 아득해지더니 사지에서 힘이 쭉 빠지는 거야,증상/힘빠짐
나가는 것도 싫어요,증상/은둔
사는게 사는거 같지가 않아요,감정/부정적사고
남편이랑 싸우는 횟수가 많아졌어요,배경/남편/다툼
누나가 혼내는 게 아니라 다 이해한다고 그러는데 진심으로 고마웠어,배경/가족
검사를 받고 나서는 마음이 묘해지더라고요,치료이력/검사
솔직히 사무실에 딱 두 명이서 일하는데 걱정하는 것도 오버는 아니잖아,감정/걱정
영화  듣는 거 정말 좋아했는데 요즘은 그거 찾아 듣기가 너무 귀찮은 거예요,증상/무기력
남친한테 차였어,배경/남자친구/이별
나도 남편처럼 똑같이 대학 나오고 노력했는데 왜 이렇게 됐지,모호함
두 분이서 같이 장사를 하셨었거든요,배경/부모
내 꼴이 그렇게 백수 같은가,감정/의기소침/자격지심
처음에는 편하게 시어머니 시아버지를 대했다가 시어머니에게 혼난 후로는 더 그런 것 같아요,배경/시댁/갈등/시어머니
잠도 못 자고 날밤 샐 때가 많고 몇 분 전 있었던 일도 까먹고 일에 집중할 수가 없더라고요,증상/기억력저하/집중력저하
헤어지는 수 밖에 없을것 같아,감정/부정적사고
지금은 일상에서도 아기의 모습이 보이는 것 같아요,증상/환각
떨어졌을 때는 무슨생각 했는지 모르겠어요 그날 자체가 기억 안 나요,증상/기억상실
내 안에 다른 내가 있는 느낌,증상/이인감
하기 싫은 건 그냥 안 했어요 ,증상/무기력
내가 이 세상에 살아야 할 의미가 있을까,감정/자살충동
몸이 망가져버린것 같아,배경/건강문제
스트레스를 받은 상태에서 무리를 해서 졸도를 한 거 같아요,증상/기절
내일이면 퇴원하는데 얼른 이 지옥에서 벗어나고 싶어 너무 괴로워,감정/괴로움
사는 게 의미가 없어,증상/무기력
다른 사람들 다 멀쩡한데저만 왜 이렇게 예민한걸까요,감정/예민함
한동안 목에 무리가는 일은 하지 말라고 해서 결국 일 좀 쉬고 있거든,배경/생활/휴식
남자 가장 길게 만났을 때가 작년 겨울이었을 거야 한 달 정도 크리스마스 보내고 끝냈지,배경/남자친구/짧은교제
일 자체는 스트레스가 없는것 같아,배경/직장/양호
식사를 자주 거르니까 체중이 많이 줄었어요,증상/식욕저하/체중감소
그걸로 동생들 뒷바라지 다 하고 어렵게 살았죠,배경/경제적문제/가난
너무 절망적입니다,감정/절망감
어렸을 때 집안 사정이 좀 안 좋았어,배경/어린시절/가난
진작에 큰병원에 가볼걸 그랬나봐,감정/후회
매 번 운이 안 따라주는 것 같아요 항상,모호함
시댁 사정도 안 좋고 어디 손 벌릴 곳도 없어,배경/경제적문제
요즘 이거 때문에 스트레스를 많이 받아서 잠도 잘 못 자요,증상/불면/스트레스
그 후부터 한 일은 입맛도 없고 잠도 못 잤어요,증상/식욕저하/불면
그냥 죽고 싶어요 ,감정/자살충동
그래서 더 걱정되는 것 같기도 해요,감정/걱정
맥주를 매일 기본 캔은 먹는 거 같아요,배경/문제/알코올의존
결혼한 지 년째예요,배경/결혼
요즘은 그냥 하루하루 죽고 싶어,감정/자살충동
안 뽑으려고 해도 안 뽑으면 오히려 더 불안해져서,감정/불안감
찾아와서 또 머리채 잡고 끌고 갈까봐 너무 무섭고,감정/무서움
아무렇지 않게 있다가 갑자기 이러니까 너무 쪽 팔려,감정/창피함
